,R_GnRH_a,R_GnRH_i,GnRH_R_i,GnRH,LH_bld,AF3,FSH_bld,AF4,InhB,LH_Pit,Lut1,Lut3,OvF,P4,R_FSH_des,R_Foll,AF1,R_LH_des,Sc1,InhA_delay,FSH_pit,E2,PrF,GnRH_R_a,InhA,Lut4,FSH_R,R_LH,AF2,Sc2,Lut2,R_FSH,LH_R,freq,mass
R_GnRH_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_GnRH_i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GnRH_R_i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GnRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_bld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF3,-1,1,1,1,1,0,1,0,0,0,0,-1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,-1,0,0,-1,-1,1,0,0
FSH_bld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF4,-1,1,1,1,1,-1,1,0,0,0,0,-1,0,0,1,1,-1,1,1,-1,0,0,-1,1,1,-1,1,-1,-1,1,-1,-1,1,0,0
InhB,1,-1,-1,-1,-1,1,-1,1,0,0,0,-1,0,-1,-1,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,1,1,-1,1,1,-1,0,0
LH_Pit,-1,1,1,1,1,-1,1,1,0,0,0,-1,0,-1,1,1,-1,1,1,-1,1,0,-1,1,1,-1,1,-1,-1,1,-1,-1,1,0,0
Lut1,1,-1,-1,-1,-1,1,-1,-1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0,0
Lut3,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,-1,-1,0,-1,1,0,0,0,1,-1,0,0
OvF,-1,1,1,1,1,-1,1,1,1,-1,1,-1,0,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,-1
P4,1,-1,-1,-1,-1,1,-1,-1,0,0,0,1,0,0,-1,-1,1,-1,-1,1,-1,0,1,-1,-1,1,-1,1,1,-1,1,1,-1,0,0
R_FSH_des,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_Foll,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,1,1,0,1,-1,0,0,0,-1,1,0,0
AF1,-1,1,1,1,1,-1,1,0,0,0,0,1,0,0,1,-1,0,1,1,1,0,0,0,1,1,1,1,-1,-1,0,-1,-1,1,0,0
R_LH_des,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InhA_delay,-1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,-1,0,0,0,-1,1,0,0
FSH_pit,1,-1,-1,-1,-1,1,-1,-1,0,0,0,-1,0,0,-1,1,1,-1,-1,1,0,0,1,-1,-1,1,-1,1,1,-1,-1,1,-1,0,0
E2,-1,1,1,1,1,-1,1,1,0,0,0,-1,0,1,1,1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,1,-1,-1,1,0,0
PrF,-1,1,1,1,1,-1,1,0,0,0,0,-1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,-1,-1,0,-1,-1,1,0,0
GnRH_R_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InhA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lut4,1,-1,-1,-1,-1,1,-1,0,0,0,0,1,0,0,-1,-1,0,-1,-1,1,0,0,0,-1,-1,0,-1,1,1,0,1,1,-1,0,0
FSH_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_LH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF2,1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,1,0,-1,-1,1,0,0,0,-1,-1,0,-1,1,0,0,-1,1,-1,0,0
Sc2,1,-1,-1,-1,-1,1,-1,0,0,0,0,-1,0,0,-1,1,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,1,0,1,1,-1,0,0
Lut2,1,-1,-1,-1,-1,0,-1,0,0,0,0,1,0,0,-1,-1,0,-1,-1,1,0,0,0,-1,-1,0,-1,1,0,0,0,1,-1,0,0
R_FSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LH_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
freq,-1,1,1,1,1,-1,1,1,0,0,0,-1,0,-1,1,1,-1,1,1,-1,1,0,-1,1,1,-1,1,-1,-1,1,-1,-1,1,0,0
mass,-1,1,1,1,1,-1,1,1,0,0,0,-1,0,1,1,1,-1,1,1,1,1,0,-1,1,1,1,1,-1,-1,1,-1,-1,1,0,0
