,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
R_GnRH_a,0.00928,0.00925426,0.00920836,0.00914601,0.00908026,0.00902531,0.00898898,0.00897104,0.00896567,0.00896566,0.00896546,0.00896118,0.008948,0.00891152,0.00854015,0.00839442,0.00866248,0.00889206,0.00904386,0.00913707,0.00919358,0.00922836,0.00925059,0.00926545,0.00927569,0.00928274,0.00928687,0.00928693,0.00927956,0.00925883,0.00921878,0.00916006,0.0090935,0.00903384,0.00899121,0.0089681,0.00896027,0.00896008,0.00896091,0.00895834,0.00894803,0.00891934,0.00873547,0.00832683,0.00860115,0.00884601,0.00901348,0.00911708,0.00917989,0.00921835,0.00924273,0.0092589,0.00927,0.00927769,0.00928252,0.00928369,0.00927838,0.00926116,0.00922561,0.00917035,0.00910425,0.00904204,0.00899532,0.00896822,0.00895775,0.0089566,0.00895766,0.00895612,0.00894791,0.00892478,0.00883607,0.00826978,0.00854325,0.00879906,0.00898237,0.00909691,0.00916647,0.0092089,0.00923558,0.00925312,0.0092651,0.00927343,0.00927887,0.00928095,0.00927733,0.00926308,0.00923165,0.00918004,0.00911506,0.009051,0.00900064,0.00896967,0.00895639,0.00895401,0.00895507,0.00895434,0.0089478,0.00892874,0.00886681,0.00825121,0.00849005
R_GnRH_i,0.0009409,0.000948851,0.000961568,0.000978067,0.000995007,0.00100879,0.0010175,0.00102129,0.00102175,0.0010208,0.00101989,0.00102,0.00102227,0.00103008,0.00111442,0.00115695,0.00108431,0.00102322,0.000983589,0.000960108,0.00094673,0.000939321,0.000935351,0.000933391,0.000932667,0.000932777,0.000933612,0.000935426,0.000939006,0.000945763,0.000957109,0.000972812,0.000990085,0.00100518,0.00101558,0.00102074,0.00102186,0.00102096,0.00101979,0.00101948,0.00102107,0.00102706,0.00106593,0.00117397,0.00109923,0.00103393,0.000989981,0.000963652,0.000948551,0.000940143,0.000935599,0.000933296,0.000932356,0.00093231,0.000932986,0.000934545,0.000937646,0.000943578,0.00095387,0.000968791,0.00098605,0.0010019,0.00101342,0.00101965,0.00102148,0.00102084,0.00101963,0.00101907,0.00102016,0.00102483,0.0010444,0.00118791,0.00111361,0.00104524,0.000996941,0.000967603,0.000950655,0.000941166,0.000936002,0.000933336,0.00093217,0.000931968,0.0009325,0.000933849,0.000936558,0.00094179,0.000951111,0.000965193,0.000982262,0.000998671,0.0010112,0.00101848,0.00102106,0.00102076,0.00101955,0.0010188,0.00101948,0.0010232,0.00103692,0.0011888,0.00112707
GnRH_R_i,1.294e-05,2.36018e-05,4.10909e-05,6.39441e-05,8.74595e-05,0.000106637,0.000118836,0.0001243,0.000125224,0.000124254,0.000123377,0.000123964,0.000127662,0.000139448,0.000268449,0.000315542,0.000216115,0.000132526,7.82142e-05,4.5744e-05,2.69182e-05,1.61498e-05,1.00254e-05,6.62175e-06,4.90231e-06,4.33108e-06,4.77966e-06,6.63164e-06,1.10324e-05,2.00046e-05,3.55402e-05,5.72622e-05,8.1228e-05,0.000102218,0.00011674,0.000124078,0.000125886,0.000124971,0.000123727,0.000123712,0.000126423,0.00013552,0.000198219,0.000339325,0.000237146,0.000147713,8.75507e-05,5.12287e-05,3.00731e-05,1.79512e-05,1.10459e-05,7.17383e-06,5.15454e-06,4.36282e-06,4.57992e-06,6.06177e-06,9.76589e-06,1.75499e-05,3.15772e-05,5.21867e-05,7.61187e-05,9.8132e-05,0.000114197,0.000123003,0.00012577,0.000125205,0.000123884,0.000123511,0.000125498,0.000132673,0.000162548,0.000359719,0.000257353,0.000163613,9.75261e-05,5.71339e-05,3.34806e-05,1.98974e-05,1.21518e-05,7.78326e-06,5.45241e-06,4.44253e-06,4.45261e-06,5.629e-06,8.76413e-06,1.55385e-05,2.81759e-05,4.75926e-05,7.12464e-05,9.40289e-05,0.000111476,0.00012171,0.0001255,0.00012538,0.000124061,0.000123408,0.000124815,0.000130587,0.000151234,0.000366507,0.000276169
GnRH,0.00326,0.00597121,0.0104207,0.0162654,0.0223254,0.027303,0.0304797,0.0318973,0.0321292,0.0318747,0.0316567,0.0318388,0.032871,0.0361619,0.0750774,0.0856208,0.0566316,0.0337605,0.0195794,0.0113339,0.0066311,0.00396649,0.00245968,0.00162614,0.00120785,0.00107285,0.00119169,0.00166395,0.00278173,0.00505985,0.00901077,0.0145594,0.0207257,0.0261688,0.0299529,0.0318617,0.0323216,0.0320771,0.0317588,0.0317785,0.0325415,0.0350759,0.0545104,0.0928545,0.062637,0.0378339,0.0219918,0.0127203,0.0074185,0.00441284,0.0027114,0.00176175,0.00126936,0.00107975,0.00114071,0.00151963,0.00246118,0.00443824,0.00800498,0.013265,0.0194144,0.0251159,0.029301,0.0315951,0.0323058,0.0321504,0.0318091,0.0317309,0.0322961,0.0342931,0.0429902,0.099355,0.0685011,0.0421427,0.0245844,0.0142179,0.00827037,0.00489545,0.00298429,0.00191152,0.00134214,0.00109856,0.00110786,0.00140981,0.00220737,0.00392852,0.00714153,0.0120936,0.0181638,0.024057,0.0285995,0.0312682,0.0322471,0.032206,0.0318625,0.0317077,0.0321147,0.0337217,0.0395797,0.102673,0.0740316
LH_bld,2.667,2.70531,2.74863,2.86323,3.22452,3.95469,4.79276,5.33248,5.49606,5.47975,5.47614,5.617,6.09995,7.83752,79.5444,93.8633,30.5255,5.40848,2.83586,2.65172,2.64151,2.6431,2.64468,2.64537,2.64683,2.65103,2.65931,2.67277,2.69235,2.71882,2.7559,2.83862,3.11207,3.76228,4.65125,5.33018,5.57893,5.56466,5.52268,5.60401,5.97358,7.23784,30.1869,107.593,42.9111,7.40166,2.99513,2.66925,2.64918,2.65017,2.65194,2.65271,2.65378,2.65721,2.66446,2.67668,2.69484,2.7197,2.75348,2.81908,3.0327,3.59751,4.47011,5.22826,5.5642,5.58389,5.53308,5.57867,5.86748,6.82722,13.4278,118.641,56.2172,10.5107,3.25259,2.69171,2.65506,2.65495,2.6568,2.65773,2.65852,2.66132,2.66769,2.6788,2.69568,2.7191,2.75052,2.8048,2.97216,3.45494,4.2906,5.10782,5.53149,5.59475,5.54294,5.56068,5.78709,6.54372,10.3022,124.891,69.0415
AF3,0.504,0.549277,0.605456,0.676794,0.771948,0.912903,1.15196,1.549,2.10724,2.78496,3.55285,4.4152,5.42338,6.76146,1.6844,0.0431402,0.0900818,0.19412,0.214482,0.230921,0.246848,0.262964,0.27959,0.296927,0.315224,0.334916,0.356782,0.382075,0.412483,0.44985,0.496175,0.554827,0.632884,0.747955,0.947635,1.30488,1.84388,2.52021,3.2912,4.15149,5.14078,6.40295,6.08711,0.0565992,0.0642639,0.18625,0.210991,0.227758,0.243751,0.259819,0.276339,0.293521,0.31159,0.330926,0.352217,0.376609,0.405714,0.441373,0.48551,0.541033,0.613971,0.718495,0.894191,1.2132,1.71636,2.36877,3.12223,3.96301,4.9198,6.10308,7.74534,0.100331,0.0496407,0.172987,0.207306,0.224475,0.24055,0.256583,0.273016,0.290075,0.30797,0.327042,0.347905,0.371605,0.399674,0.433935,0.47627,0.529249,0.598083,0.694461,0.851034,1.13602,1.6036,2.23134,2.96792,3.7918,4.72255,5.84718,7.46116,0.222407,0.0428999
FSH_bld,4.1,4.83849,5.68791,6.66517,7.64701,8.29977,8.4217,8.09037,7.52143,6.90596,6.34828,5.89266,5.57468,5.52252,8.62459,7.68688,5.46543,4.4751,3.71457,3.22478,2.98591,2.86193,2.78802,2.75119,2.76373,2.85551,3.07152,3.45787,4.02844,4.74475,5.5609,6.50048,7.51507,8.30105,8.57924,8.3449,7.79385,7.14901,6.54833,6.04942,5.68469,5.54359,7.08952,8.44885,5.82954,4.67989,3.87123,3.30688,3.02458,2.88233,2.79865,2.75218,2.7507,2.82029,3.00309,3.34739,3.87764,4.56608,5.36064,6.26898,7.28427,8.14909,8.54687,8.41155,7.91003,7.27236,6.65765,6.13644,5.74174,5.53903,6.04276,9.12238,6.20896,4.86426,4.02542,3.39713,3.06917,2.9079,2.81556,2.76177,2.74986,2.80249,2.95885,3.26771,3.76121,4.42212,5.19717,6.07762,7.08204,8.0058,8.512,8.47558,8.02892,7.40292,6.77617,6.2338,5.81189,5.56158,5.77838,9.65703,6.65285
AF4,1.604e-05,1.80873e-05,2.09979e-05,2.68372e-05,4.61055e-05,0.000111501,0.000272583,0.000524944,0.000790545,0.00103562,0.00131774,0.0017757,0.00283392,0.00762006,0.177666,0.00510142,0.00265594,7.92401e-05,9.31213e-06,7.29201e-06,7.5985e-06,8.12737e-06,8.69032e-06,9.26489e-06,9.86254e-06,1.05145e-05,1.12658e-05,1.21955e-05,1.3426e-05,1.5093e-05,1.73996e-05,2.14194e-05,3.33982e-05,7.66516e-05,0.000202116,0.00044065,0.000725565,0.000984995,0.00125493,0.00165781,0.0025148,0.00568001,0.180827,0.00744237,0.00322596,0.000196613,1.14576e-05,7.42524e-06,7.58606e-06,8.10351e-06,8.66956e-06,9.24843e-06,9.84542e-06,1.04888e-05,1.12199e-05,1.21083e-05,1.327e-05,1.48421e-05,1.69937e-05,2.0439e-05,2.96446e-05,6.29522e-05,0.000166501,0.000384027,0.000669181,0.00093607,0.00119792,0.00155998,0.00227398,0.00452923,0.0386883,0.0141549,0.00353402,0.000486376,1.54172e-05,7.62745e-06,7.55491e-06,8.05046e-06,8.6161e-06,9.19734e-06,9.79355e-06,1.04298e-05,1.11447e-05,1.20006e-05,1.3105e-05,1.45949e-05,1.66226e-05,1.96805e-05,2.69624e-05,5.28127e-05,0.000137649,0.000332558,0.000612907,0.000887132,0.00114539,0.00147742,0.0020893,0.00380637,0.0184584,0.0325502,0.00382958
InhB,52.18,57.4437,63.7179,70.8383,78.5735,86.5632,94.3793,101.684,108.375,114.511,120.123,125.13,129.234,131.16,86.9393,143.129,99.1461,57.7897,36.5541,28.4157,26.8513,28.2064,30.7425,33.7128,36.8415,40.0826,43.5274,47.3721,51.8721,57.23,63.4837,70.5326,78.209,86.2178,94.1462,101.603,108.414,114.636,120.337,125.469,129.796,132.428,116.585,143.134,110.469,64.8068,39.7454,29.48,26.9186,27.8501,30.221,33.1301,36.229,39.4339,42.8097,46.5318,50.8503,55.9934,62.0413,68.9161,76.466,84.4277,92.4035,99.9793,106.921,113.253,119.056,124.31,128.832,131.972,128.045,134.654,121.182,72.343,43.3414,30.7421,27.0576,27.5057,29.6891,32.535,35.6143,38.8028,42.1402,45.7814,49.9667,54.9387,60.8128,67.5352,74.9669,82.8748,90.8822,98.5651,105.638,112.083,117.987,123.355,128.044,131.556,130.73,118.58,130.549
LH_Pit,261119.0,263825.0,267158.0,271034.0,275284.0,279648.0,283907.0,288032.0,292129.0,296281.0,300492.0,304709.0,308818.0,312535.0,313226.0,279486.0,260255.0,257158.0,257244.0,257417.0,257656.0,257892.0,258049.0,258115.0,258257.0,258662.0,259459.0,260752.0,262630.0,265145.0,268294.0,272017.0,276170.0,280511.0,284783.0,288893.0,292938.0,297032.0,301201.0,305402.0,309533.0,313369.0,316693.0,287479.0,263307.0,258008.0,257929.0,258091.0,258320.0,258564.0,258743.0,258817.0,258920.0,259252.0,259951.0,261125.0,262867.0,265238.0,268250.0,271855.0,275929.0,280251.0,284550.0,288688.0,292732.0,296806.0,300958.0,305154.0,309308.0,313234.0,316528.0,295635.0,266900.0,258785.0,258400.0,258556.0,258768.0,259013.0,259208.0,259296.0,259374.0,259645.0,260258.0,261326.0,262945.0,265185.0,268068.0,271558.0,275550.0,279843.0,284162.0,288331.0,292383.0,296443.0,300579.0,304770.0,308939.0,312931.0,316288.0,303423.0,270932.0
Lut1,2.762e-05,1.17688e-05,4.98154e-06,2.09652e-06,8.77788e-07,3.65715e-07,1.51658e-07,6.2636e-08,2.57853e-08,1.05873e-08,4.33716e-09,1.77294e-09,7.23148e-10,2.94157e-10,0.00153716,0.0810869,0.119185,0.100051,0.0654092,0.0373564,0.0196457,0.00977731,0.00467872,0.00217446,0.000988139,0.000441146,0.000194151,8.44512e-05,3.63778e-05,1.55417e-05,6.59361e-06,2.78051e-06,1.16627e-06,4.86736e-07,2.02156e-07,8.35981e-08,3.44494e-08,1.41569e-08,5.80411e-09,2.37443e-09,9.69249e-10,3.94648e-10,7.26697e-08,0.0639939,0.117586,0.106822,0.0726525,0.0424414,0.0226437,0.0113817,0.00548587,0.0025635,0.00116987,0.000524045,0.000231268,0.000100824,4.35126e-05,1.86197e-05,7.91027e-06,3.33972e-06,1.40234e-06,5.85864e-07,2.43568e-07,1.00809e-07,4.15693e-08,1.70919e-08,7.01072e-09,2.86934e-09,1.17182e-09,4.77414e-10,1.93667e-10,0.0451719,0.112827,0.112191,0.0797165,0.047718,0.0258506,0.0131292,0.00637559,0.00299601,0.0013732,0.000617247,0.000273159,0.00011936,5.16108e-05,2.21207e-05,9.41057e-06,3.97789e-06,1.67209e-06,6.99265e-07,2.90997e-07,1.20542e-07,4.97408e-08,2.04629e-08,8.39737e-09,3.43838e-09,1.40484e-09,5.72654e-10,2.32615e-10,0.0273714,0.10567
Lut3,0.00334,0.00196312,0.00114035,0.000655901,0.000374083,0.000211777,0.00011911,6.66187e-05,3.7091e-05,2.05746e-05,1.13773e-05,6.27428e-06,3.4515e-06,1.89372e-06,3.69789e-06,0.0111848,0.0479474,0.0877445,0.111499,0.113434,0.0995426,0.0787772,0.0578279,0.0401169,0.0266433,0.017098,0.0106754,0.00651859,0.00390846,0.0023084,0.00134637,0.000777046,0.000444476,0.000252273,0.0001422,7.96789e-05,4.44284e-05,2.46751e-05,1.36593e-05,7.53989e-06,4.1513e-06,2.27975e-06,1.2453e-06,0.00628921,0.0395991,0.0806903,0.108803,0.115022,0.103617,0.0835492,0.0621849,0.043596,0.0291921,0.0188559,0.0118347,0.00725739,0.00436673,0.00258657,0.00151229,0.000874589,0.000501148,0.000284878,0.000160799,9.02048e-05,5.03448e-05,2.79824e-05,1.55001e-05,8.56084e-06,4.71589e-06,2.59127e-06,1.41874e-06,0.00272229,0.0313782,0.0727654,0.104728,0.115365,0.106848,0.0878578,0.0663376,0.0470153,0.0317479,0.0206436,0.0130261,0.00802273,0.00484446,0.00287803,0.00168683,0.000977552,0.000561133,0.000319469,0.00018057,0.000101415,5.66557e-05,3.15146e-05,1.7468e-05,9.6532e-06,5.32037e-06,2.92495e-06,1.60308e-06,0.000805392,0.0242331
OvF,7.652e-19,1.02809e-18,1.5443900000000001e-18,3.06201e-18,8.77871e-18,3.75598e-17,1.73882e-16,8.41278e-16,5.57993e-15,5.40747e-14,7.29496e-13,1.50618e-11,7.29236e-10,4.75214e-07,0.135359,7.8825e-07,3.94216e-12,1.08545e-16,6.448530000000001e-19,2.19693e-19,1.4681400000000001e-19,1.17816e-19,1.03561e-19,9.586939999999999e-20,9.318589999999999e-20,9.708439999999999e-20,1.11198e-19,1.39534e-19,1.8123700000000001e-19,2.3328800000000003e-19,3.26166e-19,5.901700000000001e-19,1.4995700000000001e-18,5.94842e-18,2.88173e-17,1.47351e-16,1.06855e-15,1.21653e-14,1.92039e-13,4.30039e-12,1.91143e-10,5.967e-08,0.0171125,9.95824e-06,4.97963e-11,6.57835e-16,1.0857900000000001e-18,2.4855600000000003e-19,1.55915e-19,1.21694e-19,1.05312e-19,9.641479999999999e-20,9.24795e-20,9.45395e-20,1.05812e-19,1.30581e-19,1.69609e-19,2.18801e-19,2.96009e-19,5.02953e-19,1.17371e-18,4.25164e-18,2.0337e-17,1.01344e-16,6.72116e-16,7.09931e-15,1.06443e-13,2.20632e-12,8.15504e-11,1.37129e-08,0.00121993,0.00011871,5.93613e-10,4.41782e-15,2.3183100000000003e-18,2.93311e-19,1.69152e-19,1.28132e-19,1.09195e-19,9.906739999999999e-20,9.409459999999999e-20,9.47777e-20,1.0396100000000001e-19,1.25959e-19,1.62713e-19,2.10177e-19,2.77751e-19,4.45534e-19,9.6702e-19,3.18928e-18,1.48437e-17,7.28492e-17,4.44911e-16,4.321e-15,6.13248e-14,1.18981e-12,3.81108e-11,4.15698e-09,6.9369e-05,0.00118804,5.94082e-09
P4,2.41,1.67491,1.1659,0.82145,0.592717,0.443192,0.346754,0.2853,0.246556,0.222354,0.207351,0.198111,0.192452,0.189003,0.186898,0.375033,2.10084,5.72779,10.217,13.9324,15.803,15.7199,14.1979,11.9216,9.46418,7.19298,5.28554,3.78645,2.66479,1.85681,1.2921,0.906966,0.649557,0.48037,0.370734,0.300575,0.256182,0.228365,0.211077,0.200406,0.193857,0.18986,0.187426,0.261507,1.59185,4.88907,9.34424,13.3481,15.643,15.9342,14.6485,12.4672,10.0013,7.66327,5.66637,4.07793,2.87854,2.00836,1.39668,0.977545,0.696323,0.510886,0.390386,0.31308,0.264055,0.233278,0.21412,0.202278,0.195004,0.190558,0.187851,0.206134,1.15535,4.07746,8.41315,12.6354,15.3312,16.011,14.9936,12.9411,10.4945,8.10913,6.03519,4.36456,3.09114,2.16045,1.50238,1.0493,0.744092,0.542181,0.410608,0.325988,0.272204,0.238374,0.217282,0.204228,0.196198,0.191287,0.188295,0.189511,0.829599
R_FSH_des,1.497,1.6911,1.89294,2.10252,2.29291,2.41027,2.43255,2.37641,2.27426,2.15635,2.04243,1.94389,1.87172,1.85793,2.44914,2.31203,1.85111,1.60601,1.39774,1.25129,1.17618,1.13635,1.11231,1.1001,1.10378,1.13276,1.20016,1.31658,1.47891,1.66764,1.8641,2.06875,2.26824,2.41005,2.45871,2.42029,2.32412,2.20392,2.08413,1.97837,1.89697,1.86343,2.16413,2.4458,1.93493,1.65888,1.44248,1.27657,1.1885,1.14296,1.11581,1.1005,1.09966,1.12161,1.17896,1.28382,1.43708,1.62205,1.81761,2.02025,2.22461,2.38342,2.45298,2.43143,2.34488,2.22756,2.10652,1.99726,1.90998,1.86281,1.96723,2.55497,2.01887,1.70543,1.48552,1.304,1.20262,1.15118,1.12131,1.10367,1.09947,1.116,1.1652,1.25995,1.40427,1.58462,1.77886,1.97926,2.18557,2.35796,2.44682,2.44205,2.36586,2.25224,2.13049,2.01815,1.9258,1.8683,1.91344,2.63335,2.11222
R_Foll,0.119,0.148384,0.207575,0.336054,0.519966,0.72651,0.940204,1.15595,1.37196,1.58738,1.80149,2.01369,2.22364,2.43201,2.64381,2.86015,1.9126,0.617058,0.257858,0.145084,0.101248,0.081751,0.0719497,0.0667015,0.0648857,0.0674204,0.0764801,0.093793,0.116907,0.142468,0.187208,0.294059,0.465838,0.668216,0.880701,1.09619,1.31234,1.52812,1.74282,1.95581,2.16663,2.37561,2.58606,2.80325,2.35867,0.759505,0.298923,0.159992,0.107671,0.0847774,0.0734796,0.0673597,0.0646905,0.066028,0.0733467,0.0887971,0.111146,0.136042,0.17348,0.2643,0.424901,0.623091,0.834276,1.04939,1.26549,1.48139,1.69635,1.90971,2.12096,2.33018,2.53961,2.75615,2.74094,0.951024,0.35207,0.177913,0.115129,0.0883306,0.0754434,0.0685281,0.0651853,0.065609,0.071539,0.0852833,0.106576,0.130946,0.163351,0.239933,0.388429,0.581694,0.791327,1.00599,1.22201,1.43802,1.65323,1.86696,2.07867,2.28826,2.49729,2.71263,2.87748
