Time	R_GnRH_a	R_GnRH_i	GnRH_R_i	GnRH	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	PrF	GnRH_R_a	InhA	Lut4	FSH_R	R_LH	AF2	Sc2	Lut2	R_FSH	LH_R	freq	mass
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
4	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
5	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
6	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
7	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
8	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0
9	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0
10	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1
11	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1
12	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0
13	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0
14	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0
15	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1
16	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
17	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
18	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
19	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1
20	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
21	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
25	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
26	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
27	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
28	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
29	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
30	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
31	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
32	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0
33	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0
34	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1
35	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0
36	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0
37	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0
38	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1
39	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
40	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
41	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
42	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1
43	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
44	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
45	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0
49	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
50	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
51	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
52	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
53	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
54	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
55	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0
56	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0
57	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1
58	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1
59	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0
60	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0
61	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	1
62	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1
63	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
64	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1
65	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1
66	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
67	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
69	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
71	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
72	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
73	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
74	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
75	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
76	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
77	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0
78	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0
79	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1
80	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1
81	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0
